Zip3,State,DAT_Market,Market_City,Distance
443,OH,OH_CLE,CLEVELAND,30
444,OH,OH_CLE,CLEVELAND,58
445,OH,PA_PIT,PITTSBURGH,56
446,OH,OH_CLE,CLEVELAND,58
447,OH,OH_CLE,CLEVELAND,49
448,OH,OH_TOL,TOLEDO,60
449,OH,OH_COL,COLUMBUS,48
450,OH,OH_CIN,CINCINNATI,25
451,OH,OH_CIN,CINCINNATI,19
452,OH,OH_CIN,CINCINNATI,14
453,OH,OH_CIN,CINCINNATI,64
454,OH,OH_CIN,CINCINNATI,47
455,OH,OH_COL,COLUMBUS,46
456,OH,WV_HUN,HUNTINGTON,46
457,OH,WV_CHA,CHARLESTON,70
458,OH,OH_TOL,TOLEDO,67
460,IN,IN_IND,INDIANAPOLIS,16
461,IN,IN_IND,INDIANAPOLIS,20
462,IN,IN_IND,INDIANAPOLIS,9
463,IN,IN_GRY,GARY,14
464,IN,IN_GRY,GARY,2
465,IN,IN_SBD,SOUTH BEND,19
466,IN,IN_SBD,SOUTH BEND,1
467,IN,IN_FTW,FT WAYNE,18
468,IN,IN_FTW,FT WAYNE,26
469,IN,IN_IND,INDIANAPOLIS,55
470,IN,OH_CIN,CINCINNATI,43
471,IN,KY_LOU,LOUISVILLE,16
472,IN,KY_LOU,LOUISVILLE,54
473,IN,IN_IND,INDIANAPOLIS,49
474,IN,IN_TER,TERRE HAUTE,45
475,IN,IN_EVA,EVANSVILLE,44
476,IN,IN_EVA,EVANSVILLE,14
477,IN,IN_EVA,EVANSVILLE,2
478,IN,IN_TER,TERRE HAUTE,9
479,IN,IN_IND,INDIANAPOLIS,60
480,MI,MI_DET,DETROIT,19
481,MI,MI_DET,DETROIT,25
482,MI,MI_DET,DETROIT,6
483,MI,MI_DET,DETROIT,15
484,MI,MI_SAG,SAGINAW,32
485,MI,MI_SAG,SAGINAW,29
486,MI,MI_SAG,SAGINAW,37
487,MI,MI_SAG,SAGINAW,41
488,MI,MI_SAG,SAGINAW,48
489,MI,MI_RAP,GRAND RAPIDS,58
490,MI,IN_SBD,SOUTH BEND,51
491,MI,IN_SBD,SOUTH BEND,18
492,MI,OH_TOL,TOLEDO,48
493,MI,MI_RAP,GRAND RAPIDS,21
494,MI,MI_RAP,GRAND RAPIDS,32
495,MI,MI_RAP,GRAND RAPIDS,1
496,MI,WI_GRE,GREEN BAY,107
497,MI,MI_SAG,SAGINAW,153
498,MI,WI_GRE,GREEN BAY,109
499,MI,MN_DUL,DULUTH,153
500,IA,IA_DES,DES MOINES,9
501,IA,IA_DES,DES MOINES,9
502,IA,IA_DES,DES MOINES,6
503,IA,IA_DES,DES MOINES,2
504,IA,IA_DES,DES MOINES,110
505,IA,IA_DES,DES MOINES,91
506,IA,IA_CED,CEDAR RAPIDS,61
507,IA,IA_CED,CEDAR RAPIDS,47
508,IA,IA_DES,DES MOINES,65
